ENSGene	GRCh38	GRCh37
ENSG00000263735	MIR4662B	MIR4662A
ENSG00000221400	SNORD3J	U3
ENSG00000238498	SNORD13P1	snoU13
ENSG00000253437	RNU6-988P	RP11-90P5.4
ENSG00000252219	MIR892C	hsa-mir-892c
ENSG00000202198	7SK	RN7SK
ENSG00000265306	MIR3195	hsa-mir-3195
ENSG00000272232	RN7SL726P	Metazoa_SRP
ENSG00000201900	RNY1P13	Y_RNA
ENSG00000268154	Metazoa_SRP	AL591806.1
ENSG00000272393	RNU6-92P	U6
ENSG00000266295	SNORD117	SNORD83
ENSG00000266458	MIR4259	hsa-mir-4259
ENSG00000271841	RNU7-10P	U7
ENSG00000271819	RNU6-94P	U6
ENSG00000201847	SNORD31B	SNORD31
ENSG00000207109	SNORD38C	SNORD38
ENSG00000264512	MIR5692A2	MIR5692A1
ENSG00000251964	U7	RNU7-135P
ENSG00000272160	RNU4-5P	U4
ENSG00000265134	MIR3190	MIR3191
ENSG00000264024	MIR4507	AL901608.1
ENSG00000263390	hsa-mir-3119-1	MIR3119-1
ENSG00000265013	SNORD32B	SNORD33
ENSG00000239517	AC116337.2	CTD-2503O16.1
ENSG00000249343	LINC01333	CTD-2275D24.2
ENSG00000258560	AL157912.1	CTD-2376I20.1
ENSG00000267750	RUNDC3A-AS1	AC003102.3
ENSG00000258297	AP001157.1	RP11-658F2.8
ENSG00000229832	AL360091.1	RP11-384C4.2
ENSG00000251556	AC091887.1	RP11-118M9.3
ENSG00000248125	AC008700.1	CTB-73N10.1
ENSG00000258750	AL358335.1	RP11-2G1.2
ENSG00000250692	AC008667.2	CTB-35F21.4
ENSG00000259117	AL121576.1	RP11-476J6.1
ENSG00000232002	LINC01880	AC093642.6
ENSG00000220537	AL121977.1	RP3-492P14.2
ENSG00000262372	CR936218.1	RP11-669E14.6
ENSG00000262772	LINC01977	RP11-353N14.2
ENSG00000227455	AL450345.1	RP11-300M24.1
ENSG00000250882	AC010261.1	CTC-459M5.1
ENSG00000254892	AP003396.4	RP11-334E6.4
ENSG00000254740	AP003396.3	RP11-334E6.3
ENSG00000258944	AC004846.2	RP4-647C14.3
ENSG00000217195	AL513475.1	RP11-277I20.2
ENSG00000258610	AF111169.2	RP11-488C13.7
ENSG00000250921	LINC02063	CTD-2008N3.1
ENSG00000260763	AC106799.3	RP11-445O3.3
ENSG00000228982	AL627095.1	RP11-107G24.3
ENSG00000261382	AC091962.1	RP11-461L18.1
ENSG00000260482	AC008870.1	CTD-2196E14.9
ENSG00000249478	AC010307.3	CTB-49A3.5
ENSG00000226089	AL122017.1	RP1-300G12.2
ENSG00000250409	AC010608.1	CTB-3M24.3
ENSG00000112297	CRYBG1	AIM1
ENSG00000269590	AC010422.5	CTD-2192J16.24
ENSG00000229846	AC092264.1	RP11-141A19.1
ENSG00000204650	LINC02210	CRHR1-IT1
ENSG00000263715	LINC02210-CRHR1	RP11-105N13.4
ENSG00000265547	AC217774.1	RP11-293E1.2
ENSG00000215796	AL512637.1	RP11-551G24.2
ENSG00000219361	RPSAP72	RP11-250B2.2
ENSG00000260645	AL359715.3	RP11-250B2.5
ENSG00000242080	AC008571.1	CTC-550M4.1
ENSG00000250751	AC015795.2	RP11-613C6.2
ENSG00000271833	AL445222.1	RP11-356B19.11
ENSG00000258793	AL355102.4	RP11-404P21.3
ENSG00000258402	AC016526.1	RP11-516J2.1
ENSG00000267198	AC091132.5	RP11-798G7.6
ENSG00000262292	AC007952.5	RP11-160E2.11
ENSG00000232249	AC152007.1	LL0XNC01-37G1.2
ENSG00000225110	PNMA6F	LL0XNC01-16G2.1
ENSG00000269693	AC010422.6	CTD-2192J16.20
ENSG00000225761	AL596247.1	RP11-417O11.5
ENSG00000263394	AC007952.7	RP11-160E2.19
ENSG00000270679	AC138473.1	CTC-512J12.7
ENSG00000225236	AP000936.2	AP000936.5
ENSG00000239486	AC091390.3	RP11-163E9.1
ENSG00000253921	AC091982.2	CTB-113P19.3
ENSG00000242042	LINC01743	RP11-690C23.2
ENSG00000268423	AC093503.1	AC011551.3
ENSG00000251396	LINC01301	RP11-163N6.2
ENSG00000258262	AC063949.1	RP11-693J15.3
ENSG00000259773	AC012100.2	RP11-507J18.2
ENSG00000229052	AL449283.1	RP11-386I23.1
ENSG00000230546	AL445193.1	RP11-393I23.3
ENSG00000271584	LINC02550	RP11-89C3.4
ENSG00000271390	AP003973.2	RP11-89C3.3
ENSG00000249497	LINC02075	RP11-1079K10.5
ENSG00000250186	AC091180.3	RP11-1079K10.4
ENSG00000237210	AC073324.1	RP11-339F13.2
ENSG00000248966	BCLAF1P1	CTD-2089O24.1
ENSG00000237189	AL138900.2	RP11-85G21.2
ENSG00000219736	AL356473.1	RP11-560O20.1
ENSG00000261868	MFSD1P1	RP11-104O19.2
ENSG00000258919	AL049836.1	RP11-1029J19.4
ENSG00000232482	AL357134.1	RP4-654C18.1
ENSG00000258512	LINC00239	RP11-796G6.2
ENSG00000258404	LINC02320	RP11-1029J19.5
ENSG00000241494	AL355032.1	RP11-796G6.1
ENSG00000223353	AL589763.1	RP11-290P14.2
ENSG00000212264	SNORD65C	SNORD65
ENSG00000272412	RN7SL778P	Metazoa_SRP
ENSG00000200629	RNY1P11	Y_RNA
ENSG00000201142	RNU1-151P	RNVU1-8
ENSG00000212214	SNORA48B	SNORA48
ENSG00000185222	TCEAL9	WBP5
ENSG00000200792	SNORA80A	SNORA80
ENSG00000201649	RNY4P34	Y_RNA
ENSG00000263358	SNORD117	SNORD83
ENSG00000207516	SNORA41B	SNORA41
ENSG00000271907	SNORA35B	SNORA35
ENSG00000227519	AL008719.1	CTA-342B11.1
ENSG00000218596	AL162578.1	RP11-2J18.1
ENSG00000255382	AP001646.3	RP11-718B12.2
ENSG00000224943	AL663023.1	RP11-180D21.3
ENSG00000228210	AL121916.1	RPL7AL2
ENSG00000238282	AL121781.1	RP5-1164C1.2
ENSG00000218520	AL450346.2	RP11-184C23.4
ENSG00000229235	RPL37P18	RP11-8L18.3
ENSG00000253894	AC011124.2	RP11-45K10.2
ENSG00000246366	LACTB2-AS1	RP11-382J12.1
ENSG00000225487	AL390119.1	RP11-403P14.1
ENSG00000263635	AP005242.1	RP11-805F19.2
ENSG00000156206	CFAP161	C15orf26
ENSG00000268083	AC008982.1	AC104534.3
ENSG00000184616	SPDYE12P	AC004166.6
ENSG00000235273	CR753509.5	XXbac-BPG308J9.3
ENSG00000230015	AL365184.2	RP11-80B9.4
ENSG00000234872	AL358176.5	RP11-467I20.5
ENSG00000266614	AC103808.5	RP11-94B19.4
ENSG00000228337	PPIAP69	RP11-804H8.5
ENSG00000236545	AP001619.2	AP001619.3
ENSG00000268756	AC104534.1	AC104534.2
ENSG00000188636	RTL6	LDOC1L
ENSG00000235505	AP002004.1	RP11-693N9.2
ENSG00000140406	TLNRD1	MESDC1
ENSG00000249667	LINC01259	RP11-213G21.1
ENSG00000249534	LINC01258	RP11-83C7.2
